Service_pk,Definition,Definition_long
CT_VDS_DT_TOTAL,Mã chỉ tiêu CT_VDS_DT_TOTAL được định nghĩa là Tổng doanh thu,"Tổng Doanh thu của Tổng Công ty được cấu thành nên từ 6 nhóm Dịch vụ bao gồm: SMS banking, Chuyển tiền, Thanh toán số, Tài chính số, Chấm điểm khách hàng và Các dịch vụ khác."
CT_VDS_DT_DV_TOTAL,Mã chỉ tiêu CT_VDS_DT_DV_TOTAL được định nghĩa là Doanh thu dịch vụ,"Là doanh thu cung cấp dịch vụ tới khách hàng, doanh thu sau chia sẻ trong hợp tác và phần chênh lệch được hưởng (phí hoa hồng, phí đại lý, chênh lệch giá bán - giá nhập) trong hoạt động cung cấp thiết bị, hàng hóa, bán hàng dịch vụ viễn thông, không bao gồm doanh thu hoạt động tài chính và thu nhập khác."
CT_VDS_DT_SMS_BANKING,Mã chỉ tiêu CT_VDS_DT_SMS_BANKING được định nghĩa là Doanh thu dịch vụ SMS Banking,"Doanh thu dịch vụ SMS banking bao gồm: doanh thu hợp tác trực tiếp với ngân hàng, doanh thu SMS banking qua CP, doanh thu SMS banking CP ngoại mạng"
CT_VDS_DT_DV_CT,Mã chỉ tiêu CT_VDS_DT_DV_CT được định nghĩa là Doanh thu dịch vụ Chuyển tiền,"Doanh thu dịch vụ chuyển tiền bao gồm: doanh thu chuyển giao tiền, doanh thu chuyển tiền liên ngân hàng tại quầy"
CT_VDS_DT_DV_TT,Mã chỉ tiêu CT_VDS_DT_DV_TT được định nghĩa là Doanh thu dịch vụ Thanh toán,"Doanh thu dịch vụ thanh toán số bao gồm: doanh thu thu hộ, doanh thu cổng thanh toán (gồm cả ĐCNTT), doanh thu Phí ViettelMoney"
CT_VDS_DT_DV_TCS,Mã chỉ tiêu CT_VDS_DT_DV_TCS được định nghĩa là Doanh thu dịch vụ Tài chính số,"Doanh thu dịch vụ tài chính số bao gồm: doanh thu dịch vụ vay, doanh thu bảo hiểm, doanh thu đầu tư và tiết kiệm, "
CT_VDS_DT_DV_CREDIT_SCORE,Mã chỉ tiêu CT_VDS_DT_DV_CREDIT_SCORE được định nghĩa là Doanh thu dịch vụ Chấm điểm khách hàng,Doanh thu dịch vụ Chấm điểm khách hàng bao gồm: doanh thu Score và Leadgen
CT_VDS_DT_DV_KHAC,Mã chỉ tiêu CT_VDS_DT_DV_KHAC được định nghĩa là Doanh thu dịch vụ khác,"Doanh thu dịch vụ khác bao gồm: doanh thu dịch vụ Bankplus, AMS và Kinh doanh quốc tế"
CT_VDS_DT_DV_TT_TH,Mã chỉ tiêu CT_VDS_DT_DV_TT_TH được định nghĩa là Doanh thu dịch vụ Thu hộ,"Doanh thu thu hộ bao gồm: doanh thu Thu hộ viễn thông Viettel, doanh thu Thu hộ viễn thông ngoại mạng, doanh thu Thu hộ tài chính và bảo hiểm, doanh thu Thu hộ xổ số, doanh thu Thu hộ điện, doanh thu Thu hộ nước, doanh thu Thu hộ giao thông. doanh thu Thu hộ du lịch, doanh thu Thu hộ giáo dục, doanh thu Thu hộ y tế, doanh thu Thu hộ thương mại điện tử, doanh thu Thu hộ dịch vụ công, doanh thu Thu hộ thiện nguyện, doanh thu Thu hộ khác, doanh thu Thu hộ bảo hiểm xã hội"
CT_VDS_DT_DV_TH_TC_BH,Mã chỉ tiêu CT_VDS_DT_DV_TH_TC_BH được định nghĩa là Doanh thu dịch vụ Thu hộ tài chính & bảo hiểm,"Doanh thu Thu hộ tài chính và bảo hiểm bao gồm: doanh thu Thu hộ tài chính và bảo hiểm kênh online (ViettelMoney và Bankplus), doanh thu Thu hộ tài chính và bảo hiểm kênh quầy Viettel, doanh thu Thu hộ tài chính và bảo hiểm kênh ngoài"
