Service_pk,Question,SQLQuery
CT_VDS_DT_DV_TH_PUBLIC_SERVICES,Doanh thu dịch vụ Thu hộ Dịch vụ công quý 2 năm 2024,"Select QUARTER_VALUE, SPQ_PERCENT, SPQY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_PUBLIC_SERVICES' and PARTITION_DATE = '20240630'"
CT_VDS_DT_DV_TH_HEALTHCARE,Quý 2 năm 2024 Doanh thu dịch vụ Thu hộ y tế tăng trưởng bao nhiêu so với quý 2 năm 2023,Select SPQY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_HEALTHCARE' and PARTITION_DATE = '20240630'
CT_VDS_DT_DV_TH_PUBLIC_SERVICES,Lũy kế tháng Doanh thu dịch vụ Thu hộ Dịch vụ công tính đến ngày 20/06/2024,"SELECT MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT,  PARTITION_DATE FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE PARTITION_DATE = '20240620' AND SERVICE_PK = 'CT_VDS_DT_DV_TH_PUBLIC_SERVICES'"
CT_VDS_DT_DV_TT,Doanh thu dịch vụ Thanh toán lũy kế từ ngày 10/06/2024 đến ngày 20/06/2024,Select sum(DAY_VALUE) From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TT' and PARTITION_DATE >= '20240610' and PARTITION_DATE <= '20240620'
CT_VDS_DT_DV_TH_PUBLIC_SERVICES,"Tháng 06/2024, Doanh thu dịch vụ Thu hộ Dịch vụ công là bao nhiêu","SELECT MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT,  PARTITION_DATE FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE PARTITION_DATE = '20240630' AND SERVICE_PK = 'CT_VDS_DT_DV_TH_PUBLIC_SERVICES'"
CT_VDS_DT_DV_TT_BH_XS_VIETLOTT_SMS,"Tháng 06/2024, Doanh thu dịch vụ Thu hộ Vietlott SMS tăng trưởng bao nhiêu % so với tháng 05/2024",Select SPM_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TT_BH_XS_VIETLOTT_SMS' and PARTITION_DATE = '20240630'
CT_VDS_DT_DV_TH_ECOMMERCE,Ngày 20/06/2024 Doanh thu dịch vụ Thu hộ Thương mại điện tử tăng trưởng bao nhiêu phần trăm so với ngày 20/05/2024,Select SPDM_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_ECOMMERCE' and PARTITION_DATE = '20240620'
CT_VDS_DT_SMS_BANKING,Quý 2 năm 2024 Doanh thu dịch vụ SMS Banking tăng trưởng bao nhiêu so với quý 2 năm 2023,Select SPQY_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_SMS_BANKING' and PARTITION_DATE = '20240630'
CT_VDS_DT_TOTAL,Tình hình Tổng doanh thu của VDS tháng 06/2024,"SELECT MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT,  PARTITION_DATE FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE PARTITION_DATE = '20240630' AND SERVICE_PK = 'CT_VDS_DT_TOTAL'"
CT_VDS_DT_TOTAL,Ngày 20/06/2024 Tổng doanh thu tăng trưởng bao nhiêu phần trăm so với ngày 19/06/2024,Select SPD_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_TOTAL' and PARTITION_DATE = '20240620'
